"Module"	"Genome"	"Pathwayperc"
"PTS system, D-glucosamine-specific II component"	"BJP_140_Altiarchaeota.1_33_4158.genes.Module.step.presence"	0
"PTS system, ascorbate-specific II component"	"BJP_140_Altiarchaeota.1_33_4158.genes.Module.step.presence"	0
"Origin recognition complex"	"BJP_140_Altiarchaeota.1_33_4158.genes.Module.step.presence"	0
"MCM complex"	"BJP_140_Altiarchaeota.1_33_4158.genes.Module.step.presence"	0
"GINS complex"	"BJP_140_Altiarchaeota.1_33_4158.genes.Module.step.presence"	0
"PTS system, galactosamine-specific II component"	"BJP_140_Altiarchaeota.1_33_4158.genes.Module.step.presence"	0
"RPA complex"	"BJP_140_Altiarchaeota.1_33_4158.genes.Module.step.presence"	1
"RF-C complex"	"BJP_140_Altiarchaeota.1_33_4158.genes.Module.step.presence"	0
"Holo-TFIIH complex"	"BJP_140_Altiarchaeota.1_33_4158.genes.Module.step.presence"	1
"MRN complex"	"BJP_140_Altiarchaeota.1_33_4158.genes.Module.step.presence"	0
"MRX complex"	"BJP_140_Altiarchaeota.1_33_4158.genes.Module.step.presence"	0
"DNA polymerase zeta complex"	"BJP_140_Altiarchaeota.1_33_4158.genes.Module.step.presence"	0
"DNA polymerase gamma complex"	"BJP_140_Altiarchaeota.1_33_4158.genes.Module.step.presence"	0
"BRCA1-associated genome surveillance complex (BASC)"	"BJP_140_Altiarchaeota.1_33_4158.genes.Module.step.presence"	1
"BER complex"	"BJP_140_Altiarchaeota.1_33_4158.genes.Module.step.presence"	0
"DNA-PK complex"	"BJP_140_Altiarchaeota.1_33_4158.genes.Module.step.presence"	0
"Multidrug/hemolysin transport system"	"BJP_140_Altiarchaeota.1_33_4158.genes.Module.step.presence"	0
"Spermidine/putrescine transport system"	"BJP_140_Altiarchaeota.1_33_4158.genes.Module.step.presence"	0
"Putrescine transport system"	"BJP_140_Altiarchaeota.1_33_4158.genes.Module.step.presence"	0
"Mannopine transport system"	"BJP_140_Altiarchaeota.1_33_4158.genes.Module.step.presence"	0
"2-Aminoethylphosphonate transport system"	"BJP_140_Altiarchaeota.1_33_4158.genes.Module.step.presence"	0
"PTS system, N-acetylmuramic acid-specific II component"	"BJP_140_Altiarchaeota.1_33_4158.genes.Module.step.presence"	0
"PTS system, 2-O-A-mannosyl-D-glycerate-specific II component"	"BJP_140_Altiarchaeota.1_33_4158.genes.Module.step.presence"	0
"PTS system, fructose-specific II-like component"	"BJP_140_Altiarchaeota.1_33_4158.genes.Module.step.presence"	0
"Pyruvate oxidation, pyruvate => acetyl-CoA"	"BJP_140_Altiarchaeota.1_33_4158.genes.Module.step.presence"	1
"Semi-phosphorylative Entner-Doudoroff pathway, gluconate => glycerate-3P"	"BJP_140_Altiarchaeota.1_33_4158.genes.Module.step.presence"	0
"Non-phosphorylative Entner-Doudoroff pathway, gluconate/galactonate => glycerate"	"BJP_140_Altiarchaeota.1_33_4158.genes.Module.step.presence"	0
"Bacitracin transport system"	"BJP_140_Altiarchaeota.1_33_4158.genes.Module.step.presence"	0
"Uncharacterized ABC transport system"	"BJP_140_Altiarchaeota.1_33_4158.genes.Module.step.presence"	0
"Manganese transport system"	"BJP_140_Altiarchaeota.1_33_4158.genes.Module.step.presence"	0
"Iron/zinc/manganese/copper transport system"	"BJP_140_Altiarchaeota.1_33_4158.genes.Module.step.presence"	0
"Manganese/zinc/iron transport system"	"BJP_140_Altiarchaeota.1_33_4158.genes.Module.step.presence"	0
"Lipopolysaccharide export system"	"BJP_140_Altiarchaeota.1_33_4158.genes.Module.step.presence"	0
"Bicarbonate transport system"	"BJP_140_Altiarchaeota.1_33_4158.genes.Module.step.presence"	0
"Neutral amino acid transport system"	"BJP_140_Altiarchaeota.1_33_4158.genes.Module.step.presence"	0
"Urea transport system"	"BJP_140_Altiarchaeota.1_33_4158.genes.Module.step.presence"	0
"Dipeptide transport system"	"BJP_140_Altiarchaeota.1_33_4158.genes.Module.step.presence"	0
"alpha-Hemolysin/cyclolysin transport system"	"BJP_140_Altiarchaeota.1_33_4158.genes.Module.step.presence"	0
"RTX toxin transport system"	"BJP_140_Altiarchaeota.1_33_4158.genes.Module.step.presence"	0
"S-Layer protein transport system"	"BJP_140_Altiarchaeota.1_33_4158.genes.Module.step.presence"	1
"Hemophore/metalloprotease transport system"	"BJP_140_Altiarchaeota.1_33_4158.genes.Module.step.presence"	0
"Multiple protein transport system"	"BJP_140_Altiarchaeota.1_33_4158.genes.Module.step.presence"	0
"Adhesin protein transport system"	"BJP_140_Altiarchaeota.1_33_4158.genes.Module.step.presence"	0
"Type II general secretion pathway"	"BJP_140_Altiarchaeota.1_33_4158.genes.Module.step.presence"	0
"Type III secretion system"	"BJP_140_Altiarchaeota.1_33_4158.genes.Module.step.presence"	0
"Type IV secretion system"	"BJP_140_Altiarchaeota.1_33_4158.genes.Module.step.presence"	0
"Type VI secretion system"	"BJP_140_Altiarchaeota.1_33_4158.genes.Module.step.presence"	0
"Sec (secretion) system"	"BJP_140_Altiarchaeota.1_33_4158.genes.Module.step.presence"	1
"Twin-arginine translocation (Tat) system"	"BJP_140_Altiarchaeota.1_33_4158.genes.Module.step.presence"	1
"Immunoproteasome"	"BJP_140_Altiarchaeota.1_33_4158.genes.Module.step.presence"	0
"Cysteine biosynthesis, homocysteine + serine => cysteine"	"BJP_140_Altiarchaeota.1_33_4158.genes.Module.step.presence"	0
"RaxAB-RaxC type I secretion system"	"BJP_140_Altiarchaeota.1_33_4158.genes.Module.step.presence"	0
"Proteasome, 20S core particle"	"BJP_140_Altiarchaeota.1_33_4158.genes.Module.step.presence"	0
"Proteasome, 19S regulatory particle (PA700)"	"BJP_140_Altiarchaeota.1_33_4158.genes.Module.step.presence"	0
"Bacterial proteasome"	"BJP_140_Altiarchaeota.1_33_4158.genes.Module.step.presence"	1
"Archaeal proteasome"	"BJP_140_Altiarchaeota.1_33_4158.genes.Module.step.presence"	1
"Formaldehyde assimilation, xylulose monophosphate pathway"	"BJP_140_Altiarchaeota.1_33_4158.genes.Module.step.presence"	0
"Formaldehyde assimilation, ribulose monophosphate pathway"	"BJP_140_Altiarchaeota.1_33_4158.genes.Module.step.presence"	0
"Formaldehyde assimilation, serine pathway"	"BJP_140_Altiarchaeota.1_33_4158.genes.Module.step.presence"	0
"Glutathione transport system"	"BJP_140_Altiarchaeota.1_33_4158.genes.Module.step.presence"	0
"Microcin C transport system"	"BJP_140_Altiarchaeota.1_33_4158.genes.Module.step.presence"	0
"Capsaicin biosynthesis, L-Phenylalanine => Capsaicin"	"BJP_140_Altiarchaeota.1_33_4158.genes.Module.step.presence"	0
"Spliceosome, U1-snRNP"	"BJP_140_Altiarchaeota.1_33_4158.genes.Module.step.presence"	0
"Spliceosome, U2-snRNP"	"BJP_140_Altiarchaeota.1_33_4158.genes.Module.step.presence"	0
"Spliceosome, Prp19/CDC5L complex"	"BJP_140_Altiarchaeota.1_33_4158.genes.Module.step.presence"	0
"Spliceosome, U4/U6.U5 tri-snRNP"	"BJP_140_Altiarchaeota.1_33_4158.genes.Module.step.presence"	0
"Spliceosome, 35S U5-snRNP"	"BJP_140_Altiarchaeota.1_33_4158.genes.Module.step.presence"	0
"Methanogenesis, methanol => methane"	"BJP_140_Altiarchaeota.1_33_4158.genes.Module.step.presence"	0
"Methanogenesis, acetate => methane"	"BJP_140_Altiarchaeota.1_33_4158.genes.Module.step.presence"	0
"Coenzyme M biosynthesis"	"BJP_140_Altiarchaeota.1_33_4158.genes.Module.step.presence"	0
"Aminoacyl-tRNA biosynthesis, eukaryotes"	"BJP_140_Altiarchaeota.1_33_4158.genes.Module.step.presence"	0
"Aminoacyl-tRNA biosynthesis, prokaryotes"	"BJP_140_Altiarchaeota.1_33_4158.genes.Module.step.presence"	1
"Nucleotide sugar biosynthesis, eukaryotes"	"BJP_140_Altiarchaeota.1_33_4158.genes.Module.step.presence"	0
"Nucleotide sugar biosynthesis, prokaryotes"	"BJP_140_Altiarchaeota.1_33_4158.genes.Module.step.presence"	0
"EHEC pathogenicity signature, Shiga toxin"	"BJP_140_Altiarchaeota.1_33_4158.genes.Module.step.presence"	0
"C10-C20 isoprenoid biosynthesis, bacteria"	"BJP_140_Altiarchaeota.1_33_4158.genes.Module.step.presence"	0
"C10-C20 isoprenoid biosynthesis, archaea"	"BJP_140_Altiarchaeota.1_33_4158.genes.Module.step.presence"	0
"C10-C20 isoprenoid biosynthesis, plants"	"BJP_140_Altiarchaeota.1_33_4158.genes.Module.step.presence"	0
"C10-C20 isoprenoid biosynthesis, non-plant eukaryotes"	"BJP_140_Altiarchaeota.1_33_4158.genes.Module.step.presence"	0
"Ethylene biosynthesis, methionine => ethylene"	"BJP_140_Altiarchaeota.1_33_4158.genes.Module.step.presence"	0
"Cyanogenic glycoside biosynthesis, tyrosine => dhurrin"	"BJP_140_Altiarchaeota.1_33_4158.genes.Module.step.presence"	0
"Glucosinolate biosynthesis, tryptophan => glucobrassicin"	"BJP_140_Altiarchaeota.1_33_4158.genes.Module.step.presence"	0
"Castasterone biosynthesis, campesterol => castasterone"	"BJP_140_Altiarchaeota.1_33_4158.genes.Module.step.presence"	0
"Abscisic acid biosynthesis, beta-carotene => abscisic acid"	"BJP_140_Altiarchaeota.1_33_4158.genes.Module.step.presence"	0
"Ethylmalonyl pathway"	"BJP_140_Altiarchaeota.1_33_4158.genes.Module.step.presence"	0
"Dicarboxylate-hydroxybutyrate cycle"	"BJP_140_Altiarchaeota.1_33_4158.genes.Module.step.presence"	0
"Hydroxypropionate-hydroxybutylate cycle"	"BJP_140_Altiarchaeota.1_33_4158.genes.Module.step.presence"	0
"3-Hydroxypropionate bi-cycle"	"BJP_140_Altiarchaeota.1_33_4158.genes.Module.step.presence"	0
"Reductive acetyl-CoA pathway (Wood-Ljungdahl pathway)"	"BJP_140_Altiarchaeota.1_33_4158.genes.Module.step.presence"	0
"F420 biosynthesis"	"BJP_140_Altiarchaeota.1_33_4158.genes.Module.step.presence"	0
"SCF-MET30 complex"	"BJP_140_Altiarchaeota.1_33_4158.genes.Module.step.presence"	0
"SCF-BTRC complex"	"BJP_140_Altiarchaeota.1_33_4158.genes.Module.step.presence"	0
"SCF-SKP2 complex"	"BJP_140_Altiarchaeota.1_33_4158.genes.Module.step.presence"	0
"SCF-FBS complex"	"BJP_140_Altiarchaeota.1_33_4158.genes.Module.step.presence"	0
"ECV complex"	"BJP_140_Altiarchaeota.1_33_4158.genes.Module.step.presence"	0
"Cul3-SPOP complex"	"BJP_140_Altiarchaeota.1_33_4158.genes.Module.step.presence"	0
"Cul4-DDB1-DDB2 complex"	"BJP_140_Altiarchaeota.1_33_4158.genes.Module.step.presence"	0
"Cul4-DDB1-CSA complex"	"BJP_140_Altiarchaeota.1_33_4158.genes.Module.step.presence"	0
"SCF-FBW7 complex"	"BJP_140_Altiarchaeota.1_33_4158.genes.Module.step.presence"	0
"ECS complex"	"BJP_140_Altiarchaeota.1_33_4158.genes.Module.step.presence"	0
"APC/C complex"	"BJP_140_Altiarchaeota.1_33_4158.genes.Module.step.presence"	0
"Exosome, archaea"	"BJP_140_Altiarchaeota.1_33_4158.genes.Module.step.presence"	1
"Exosome, eukaryotes"	"BJP_140_Altiarchaeota.1_33_4158.genes.Module.step.presence"	1
"Ski complex"	"BJP_140_Altiarchaeota.1_33_4158.genes.Module.step.presence"	0
"TRAMP complex"	"BJP_140_Altiarchaeota.1_33_4158.genes.Module.step.presence"	0
"RNA degradosome"	"BJP_140_Altiarchaeota.1_33_4158.genes.Module.step.presence"	1
"Decapping complex"	"BJP_140_Altiarchaeota.1_33_4158.genes.Module.step.presence"	0
"Lsm 2-8 complex"	"BJP_140_Altiarchaeota.1_33_4158.genes.Module.step.presence"	0
"Lsm 1-7 complex"	"BJP_140_Altiarchaeota.1_33_4158.genes.Module.step.presence"	0
"Sm core complex"	"BJP_140_Altiarchaeota.1_33_4158.genes.Module.step.presence"	0
"Cap binding complex"	"BJP_140_Altiarchaeota.1_33_4158.genes.Module.step.presence"	0
"p97-Ufd1-Npl4 complex"	"BJP_140_Altiarchaeota.1_33_4158.genes.Module.step.presence"	1
"Sec61 complex"	"BJP_140_Altiarchaeota.1_33_4158.genes.Module.step.presence"	1
"Translocon-associated protein (TRAP) complex"	"BJP_140_Altiarchaeota.1_33_4158.genes.Module.step.presence"	0
"HRD1/SEL1 ERAD complex"	"BJP_140_Altiarchaeota.1_33_4158.genes.Module.step.presence"	1
"COPII complex"	"BJP_140_Altiarchaeota.1_33_4158.genes.Module.step.presence"	0
"THC complex"	"BJP_140_Altiarchaeota.1_33_4158.genes.Module.step.presence"	0
"TREX complex"	"BJP_140_Altiarchaeota.1_33_4158.genes.Module.step.presence"	0
"SCF-CDC4 complex"	"BJP_140_Altiarchaeota.1_33_4158.genes.Module.step.presence"	0
"ESCRT-0 complex"	"BJP_140_Altiarchaeota.1_33_4158.genes.Module.step.presence"	0
"ESCRT-I complex"	"BJP_140_Altiarchaeota.1_33_4158.genes.Module.step.presence"	0
"ESCRT-II complex"	"BJP_140_Altiarchaeota.1_33_4158.genes.Module.step.presence"	0
"SCF-GRR1 complex"	"BJP_140_Altiarchaeota.1_33_4158.genes.Module.step.presence"	0
"ESCRT-III complex"	"BJP_140_Altiarchaeota.1_33_4158.genes.Module.step.presence"	0
"FA core complex"	"BJP_140_Altiarchaeota.1_33_4158.genes.Module.step.presence"	0
